TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.csv.CSVRecord,BRANCH,1.0,25,25
org.apache.commons.csv.Lexer,BRANCH,0.9428571428571428,70,65
org.apache.commons.csv.CSVParser,BRANCH,0.8285714285714286,70,58
org.apache.commons.csv.CSVPrinter,BRANCH,0.8359375,128,106
org.apache.commons.csv.CSVRecord,BRANCH,0.96875,32,31
org.apache.commons.csv.CSVParser,BRANCH,0.8243243243243243,74,61
org.apache.commons.csv.CSVFormat,BRANCH,0.9695121951219512,164,157
org.apache.commons.csv.CSVRecord,BRANCH,0.9722222222222222,36,35
org.apache.commons.csv.CSVPrinter,BRANCH,0.8914728682170543,129,115
org.apache.commons.csv.CSVParser,BRANCH,0.7142857142857143,84,60
org.apache.commons.csv.CSVFormat,BRANCH,0.9700598802395209,167,162
org.apache.commons.csv.CSVFormat,BRANCH,0.9547738693467337,199,190
org.apache.commons.csv.CSVPrinter,BRANCH,0.7985611510791367,139,111
org.apache.commons.csv.CSVFormat,BRANCH,0.918429003021148,331,303
org.apache.commons.csv.CSVFormat,BRANCH,0.9351851851851852,324,308
org.apache.commons.csv.CSVParser,BRANCH,0.8085106382978723,94,76
com.google.gson.TypeInfoFactory,BRANCH,0.043478260869565216,46,2
com.google.gson.internal.bind.TypeAdapters,BRANCH,0.4253731343283582,268,114
com.google.gson.internal.ConstructorConstructor,BRANCH,0.0,66,0
com.google.gson.stream.JsonReader,BRANCH,0.6139817629179332,658,387
com.google.gson.stream.JsonWriter,BRANCH,0.8918918918918919,111,99
com.google.gson.internal.bind.util.ISO8601Utils,BRANCH,0.6288659793814433,97,61
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory,BRANCH,0.6666666666666666,9,6
com.google.gson.stream.JsonReader,BRANCH,0.6246246246246246,666,417
com.google.gson.internal.UnsafeAllocator,BRANCH,0.5,14,7
com.google.gson.internal.bind.JsonTreeWriter,BRANCH,0.9054054054054054,74,67
